0,301
1,524
2,470
3,542
4,537
5,575
6,572
7,620
8,583
9,562
10,546
11,587
12,581
13,514
14,524
15,577
16,622
17,590
18,605
19,599
20,513
21,580
22,571
23,571
24,606
25,580
26,565
27,596
28,595
29,602
30,565
31,575
32,535
33,579
34,580
35,598
36,614
37,594
38,638
39,598
40,561
41,630
42,594
43,576
44,557
45,611
46,533
47,549
48,579
49,548
50,569
51,603
52,610
53,602
54,579
55,604
56,594
57,601
58,611
59,546
60,550
61,576
62,489
63,581
64,546
65,579
66,593
67,633
68,523
69,603
70,586
71,571
72,588
73,602
74,554
75,581
76,643
77,543
78,631
79,612
80,549
81,613
82,618
83,598
84,596
85,538
86,586
87,640
88,604
89,626
90,467
91,583
92,522
93,546
94,614
95,627
96,624
97,589
98,609
99,604
100,553
101,534
102,556
103,534
104,143
